YEAR,TITLE,SUBGENRE,DIRECTOR,RANKING,PLOT SUMMARY
1940,The Ghost Breakers,Horror comedy,George Marshall,22,"In a Manhattan radio studio, a broadcast is being made by crime reporter Lawrence Lawrence (Bob Hope)—""Larry"" to his friends, as well as his enemies, who are many in number among the local underworld.

Listening in on the broadcast is pretty brunette Mary Carter (Paulette Goddard), whose high-rise hotel room goes dark as a violent thunderstorm causes a citywide blackout. In the near darkness, a knock comes at her door. It is Mr. Parada (Paul Lukas), a suave, vaguely sinister Cuban solicitor. He delivers the deed to her inherited plantation and mansion, ""Castillo Maldito"", on a small island off the coast of Cuba. Despite Parada's discouragement, she impulsively decides to travel to Cuba by ship to inspect her new property.

During Parada's visit, Mary receives a telephone call from Mr. Mederos (Anthony Quinn), an even more sinister gent who warns Mary not to sell the newly inherited property to Parada. Mary agrees to meet Mederos later.

Meanwhile, after Larry Lawrence has finished broadcasting the evening's exposé of a local crime boss, he receives a telephone call from the crime boss, Frenchy Duval (Paul Fix). Frenchy invites Larry to his hotel to discuss the broadcast so he can ""give it"" to him straight.

Coincidentally, Frenchy is living in the same hotel where Mary Carter lives. Mederos arrives on the same hotel floor as Larry. However, Mederos is looking for Parada. Mederos confronts Parada and Parada shoots and kills him. Larry hears the shot and fires his gun at random. In a mix-up in the still-darkened building, Larry sees the body and believes he's killed one of Duval's henchmen. In the confusion he finds himself in the rooms of Mary Carter, who is already busy packing for her journey. Believing that he is being pursued by Duval's men, Larry hides in Mary's large open trunk. Unaware of Larry's presence, Mary locks the trunk and arranges for its transport to the harbor.

Later at the dock, Larry's valet Alex (Willie Best) searches among the luggage bound for loading and finds Larry among them. Although not in time to prevent the trunk's transfer to the ship's hold, Alex manages to get on board, hoping to extricate his employer before the ship sails.

Once in her stateroom, Mary is surprised to unpack Larry along with the rest of her belongings. Larry and Alex decide to remain on board, partly to act as bodyguards to the plucky beauty, but also to keep out of reach of Frenchy Duval and the police.

As Larry and Mary strike up a flirtation, they run into an acquaintance of Mary's, Geoff Montgomery (Richard Carlson), a young professorial type who regales them with tales of the local superstitions of their destination, particularly voodoo, ghosts and zombies.

Upon reaching port in Havana, Mary, Larry, Alex go to the island. En route they find a shack occupied by an old woman (Virginia Brissac) and her catatonic son (Noble Johnson), whom they believe is a zombie. The imposing plantation manor proves to be a spooky edifice indeed. They begin to explore the long-abandoned, cobweb-ridden mansion, and discover a large portrait of a woman who is nearly an exact likeness of Mary—most certainly an ancestor.

Soon they are terrorized by the appearance of a ghost, and the reappearance of the zombie. Are these real, or are they a ruse to frighten Mary away from her inheritance?"
1941,Dr. Jekyll and Mr. Hyde,Science fiction,Victor Fleming,45,"Dr. Henry Jekyll (Spencer Tracy) believes good and evil exist in everyone. Experiments reveal his evil side, named Mr. Hyde. Experience teaches him how evil and violent Hyde can be: he rapes Ivy Pearson (Ingrid Bergman), who earlier expressed interest in Jekyll. Meanwhile, Jekyll is preparing to marry Beatrix Emery (Lana Turner). Over the course of the film, Hyde abuses Ivy. Feeling remorse over the treatment inflicted on Ivy by his “monstrous” counterpart, Jekyll vows never to take the serum again, destroys the key to his lab, and sends money to Ivy anonymously. Ivy believes the money was sent by Hyde in order to trick her into believing she is now free. On the advice of a friend over her rattled nerves, she goes to Jekyll for comfort. Jekyll promises that Hyde will never hurt her again.

On the way to Emery's house for the announcement of his marriage to Beatrix, Jekyll transforms into Hyde without taking the serum. He goes over to Ivy's house, accuses her of meeting with Jekyll, and strangles her. He escapes back to his locked lab, only to recall that he no longer has the key. He fails to break into the front door of his place, so he hurries to his friend Dr. Lanyon (Ian Hunter) for help. Lanyon is shocked to find out that both Jekyll and Hyde are the same person as Hyde drinks the antidote in his friend's presence. Jekyll decides to break off his engagement to Beatrix in order to keep his dark secret. She refuses to accept, her reaction triggering Jekyll to become Hyde and frighten Beatrix. Her father (Donald Crisp) responds to her scream, only to be beaten to death by Hyde.

Lanyon later discovers a piece of Jekyll's cane at the scene, and he realizes his friend is responsible for the murder. He then leads police to search Jekyll's lab, where they find Jekyll, who earlier, as Hyde, had strong-armed past his butler, Poole (Peter Godfrey), to get to the antidote. Soon the cornered doctor starts transforming once again into Hyde as authorities question him in the lab. A struggle ensues and Lanyon shoots Hyde. As the monster dies, he reverts yet again, and finally, to Jekyll."
1941,The Wolf Man,Monster,George Waggner,98,"Larry Talbot (Lon Chaney Jr.) returns to his ancestral home in Llanwelly, Wales to bury his recently deceased brother and reconcile with his estranged father, Sir John Talbot (Claude Rains). While there, Larry falls in love with a local girl named Gwen Conliffe (Evelyn Ankers) who runs an antique shop. As an excuse to talk to her, he purchases a walking stick decorated with a silver wolf's head, and Gwen tells him that it represents a werewolf (which she defines as a man who changes into a wolf ""at certain times of the year"".) Various villagers recite a poem whenever the subject of werewolves comes up:

Even a man who is pure in heart, and says his prayers by night;
May become a wolf when the wolfsbane blooms and the autumn moon is bright.
Later that night, Larry attempts to rescue Gwen's friend, Jenny, from what he believes to be a sudden wolf attack. He kills the beast with his new walking stick but is bitten on the chest in the process. A Romani fortuneteller named Maleva (Maria Ouspenskaya) reveals to Larry that the animal which bit him was actually her son Bela (Bela Lugosi) in the form of a wolf. She also reveals that Larry will transform into a wolf as well since he who is bitten by a werewolf and lives will turn into one himself. From her, Larry learns that silver is the only thing that can kill a werewolf.

Just like Maleva warned, Larry transforms into a werewolf on the following full moon and kills several villagers. He returns to normal the next morning initially with no memory of his rampage, but the recollection of his crimes gradually returns to him, leaving him horrified and wracked with guilt. The night of the next full moon, he begs his father to restrain him to prevent him from hurting anyone else. Nevertheless, he becomes a werewolf once again, breaks free of his restraints, and attacks Gwen. Seeing that his son is doomed to become a werewolf and kill innocent people as long as he lives, Sir John reluctantly puts Larry out of his misery by bludgeoning him over the head with his own silver-headed cane. The movie ends with Sir John and Gwen watching in horror as the dead werewolf transforms into Larry's human corpse."
1941,The Black Cat,Horror comedy,Albert S. Rogell,176,"Henrietta Winslow lives in an old mansion with many cats, caretaker Eduardo and her housekeeper Abigail. In the property's garden, there is a curious crematorium where the bodies of her dead cats end up, the ashes of which she collects and places in urns. One evening, the old lady receives her heirs to read her will to them."
1941,The Monster and the Girl,Monster,Stuart Heisler,179,"Scot Webster is on trial for the murder of Wade Stanton. Tips, a bellhop at the hotel where the murder occurred, testifies that he saw Scot holding a gun and standing over Wade's body. When Scot takes the stand, he says that he came into town two months earlier looking for someone named Larry Reed, and was led to a gangster named Bruhl: After Scot seeks out Bruhl to find Larry, Bruhl makes an appointment to meet him at Wade's room at the Regent Hotel, but when Scot arrives, he hears Wade arguing with Bruhl over money. When Wade opens the door, Bruhl's thug, Munn, shoots him, tosses the gun toward Scot and escapes, as Wade falls into Scot's arms. After Tips's testimony, prosecuting district attorney McMasters claims that no such person as Larry Reed exists. Scot's sister Susan demands to be heard and tells her story on the stand: Although Scot is happy playing the church organ and working at their small-town post office, Susan aspires to a more glamorous life and leaves for the big city, despite Scot's protest. Unable to find work, Susan meets Larry Reed at the employment agency. Susan falls in love with Larry, a charmer who says all the right things, and hastily marries him after only two weeks. Unknown to Susan, they are married by Deacon, a thug of Bruhl's posing as a priest. On their honeymoon night, a party awaits them at Larry's apartment, and Bruhl's thugs Munn and Sleeper are among the guests. The next morning, Susan awakens alone and discovers that she is being held prisoner by Munn, who now insists that ""Larry"" is a figment of her imagination. Munn insists that she is in debt for the party and the apartment, and threateningly recommends that she entertain male guests at a low-class cabaret run by Bruhl. On the stand, Susan insists that Scot was only trying to protect her, but McMasters discredits her because of her profession, and the judge declares her testimony inadmissible. Scot is found guilty of murder and is sentenced to execution. Before he is taken from court, Scot looks directly at his enemies and vows that he will avenge himself, while Susan is comforted by reporter Sam Daniels, who takes her home to live with his aunt Della. In prison, an hysterical Scot agrees to allow scientist Dr. Parry to use his brain for an experiment after he is executed. Later, Susan goes to see Bruhl to plead for Scot's life, and is surprised to see Larry among Bruhl's company. Bruhl refuses to assist her, and Sam takes Susan home. After Scot is executed, Parry immediately performs surgery and implants Scot's brain into an ape, who then becomes animated by Scot's thoughts. Recalling the injustice of his imprisonment and death, the ape escapes from his cage and goes on a rampage, first killing McMasters. Bruhl is alarmed by news of McMasters' death, and when Sleeper becomes unnerved by the thought that Scot is somehow meting out his revenge, Bruhl sends him home, but sends Deacon to follow and finish him off. The ape is drawn to Sam's house, where he looks fondly on a sleeping Susan, and is recognized by Scot's pet dog, Skipper. When Bruhl sends Munn to kidnap Susan, the ape murders the thug. Dimwitted homicide investigators Captain Alton and Lieutenant Strickland imagine that Susan is behind the murders, although all of the victims have been crushed to death. Deacon kidnaps Susan, while the ape, followed by Skipper, murders Sleeper at his apartment. Although Sleeper is dead when Deacon arrives, the killer thinks he is only sleeping and shoots him. The ape then kills Deacon and escapes to the roof after the police arrive. Suspecting the truth, Parry arrives at the scene and, seeing the ape on the roof, tips off a policeman as to the identity of the killer. However, the ape overhears him and continues on to Bruhl's apartment, where Bruhl is hitting Susan to make her talk. Outraged that she is being brutalized, the ape crashes through a window. Larry attempts to shoot the ape, but kills Bruhl instead. Larry then unloads his gun into the ape, and the ape kills him. After giving Susan a long, beseeching look, the ape collapses and dies."
1941,Spooks Run Wild,Horror comedy,Phil Rosen,182,"Members of the New York City East Side boys club—leader Muggs, Danny, Glimpy, Scruno, Skinny, and Peewee—reluctantly board a bus bound for summer camp.

The bus stops in the town of Hillside, where Muggs and his pals flirt with Margie, a soda fountain waitress. While they are there, a radio broadcast announces that a maniacal ""monster killer"" is in the area. When they arrive at the camp, the counselor, Jeff Dixon, complains to his girlfriend, camp nurse Linda Mason, that he will get no work done on his thesis because of the rowdy juvenile delinquents.

One night, Nardo, a mysterious caped figure, and his dwarf assistant, Luigi, ask a local gas station attendant for directions to the hilltop Billings house, which has been deserted for years since its owner was murdered. After he leaves, another car arrives and the attendant recognizes the driver from his mystery magazines as Dr. Von Grosch. The attendant believes that Nardo is the killer and Von Grosch is hunting him, and he alerts the local constable that Nardo is a suspect. One night, Nardo and Luigi sneak into the local graveyard and are shot at by a grave digger.

That same night, Muggs slips out of camp hoping to rendezvous with the soda fountain girl, and is followed by all his pals. The East Side Kids get lost in the woods, and when they wander into the graveyard, Peewee is also shot by the digger. The boys take Peewee to the nearby Billings house, where Nardo tends to his minor injury and gives him a sedative. Nardo lets the boys spend the night, but Peewee disappears while sleepwalking. The rest of the boys are unable to sleep because of Nardo's strangeness and Peewee's disappearance. Linda, meanwhile, also disappears while out searching for the boys, and Jeff goes to the police for help.

When the boys confront Nardo, he claims not to know where Peewee is, but insists that the boys remain in the house. Muggs distrusts Nardo and on his command, the boys attack him and roll him into a carpet. Skinny and Glimpy disappear through a secret passage, and Scruno is spooked when Nardo reappears. At constable Jim's office, the grave digger recalls seeing the boys, and Jim believes they may have fallen into the killer's hands at the Billings estate. The boys, meanwhile, search for Peewee, but are continually being surprised by the appearance of coffins and objects that move themselves, and by the disappearance of their pals through walls and closets.

Linda, meanwhile, accepts a ride from Von Grosch, who takes her to the Billings house, ostensibly to help the boys. Muggs and the boys succeed in terrifying Nardo by pretending to be a ghost, and they finally find Peewee back in bed. Just after Linda and Von Grosch arrive at the house, Von Grosch attacks Linda.

The police burst in and accuse Nardo of being a killer, but Muggs has already learned that Nardo is merely a magician. When they all hear Linda screaming inside a locked room, Muggs climbs onto the roof and enters the room through a window. While he struggles with Von Grosch, who is the real ""monster killer"", Linda opens the door, and the police arrest Von Grosch. Later, Nardo performs magic tricks for Jeff, Linda and the boys, and when Muggs goes into a cabinet after a disappearing girl, he emerges with Scruno in his arms."
1942,Cat People,Supernatural,Jacques Tourneur,78,"At the Central Park Zoo in New York City, Serbian-born fashion illustrator Irena Dubrovna (Simone Simon) makes sketches of a black panther. She catches the attention of marine engineer Oliver Reed (Kent Smith), who strikes up a conversation. Irena invites him to her apartment for tea. At her apartment, Oliver is intrigued by a statue of a medieval warrior on horseback impaling a large cat with his sword. Irena informs Oliver that the figure is King John of Serbia and that the cat represents evil. According to legend, long ago, the Christian residents of her home village gradually turned to witchcraft and devil worship after being enslaved by the Mameluks. When King John drove the Mameluks out and saw what the villagers had become, he had them killed. However, ""the wisest and the most wicked"" escaped into the mountains. Oliver is dismissive of the legend even though Irena clearly takes it seriously.

Oliver buys her a kitten, but upon meeting her, it hisses. Irena suggests they go to the pet shop to exchange it. When they enter the shop, the animals go wild in her presence, and Irena becomes uneasy. Irena gradually reveals to Oliver that she believes she is descended from the cat people of her village, and that she will transform into a panther if aroused to passion. Despite this, Oliver asks her to marry him, and she agrees. However, during the dinner after their wedding at The Belgrade, a Serbian restaurant, a cat-like woman walks over and addresses Irena as moya sestra (""my sister""). Irena never consummates the marriage, fearful of the consequences. Oliver is patient with her, but eventually persuades her to see a psychiatrist, Dr. Louis Judd (Tom Conway). Judd tries to convince her that her fears stem from childhood traumas. Meanwhile, Irena is unhappy to discover that Oliver has confided in his assistant, Alice Moore (Jane Randolph). Alice confesses to Oliver that she loves him. When Irena chances to see Oliver and Alice seated together at a restaurant, she follows Alice home. Just as Alice hears a menacing sound, a bus pulls up and she boards it. Soon after, a groundskeeper discovers several freshly killed sheep. The paw prints leading away turn into imprints of a woman's shoes. Irena returns to her apartment looking dishevelled and exhausted; she is shown shortly afterwards weeping in the bathtub. Irena dreams of Dr. Judd dressed up as King John speaking of ""the key"". She later steals the key to the panther's cage in Central Park.

Irena, Oliver and Alice visit a museum, and Irena is angered when the two virtually ignore her. That evening, when Alice decides to use the basement swimming pool of her apartment building, she is stalked by an animal. When Alice screams for help, Irena appears, turning on the lights, and says she is looking for Oliver. Alice later finds her bathrobe torn to shreds. After an appointment with Dr. Judd, Irena tells Oliver that she is no longer afraid, but Oliver tells her it is too late: he has realized that he loves Alice and intends to divorce Irena. Later at work, Oliver and Alice are cornered by a snarling animal. Oliver and Alice manage to get out of the building but not before smelling Irena's perfume. Alice calls Judd to warn him to stay away from Irena, but he hangs up when Irena arrives for her appointment with him. He kisses Irena passionately, resulting in her transformation into a panther who attacks and kills him. When Oliver and Alice arrive at Judd's office, Irena slips away and goes to the zoo. There, she opens the panther's cage with the stolen key and is struck down by the escaping panther, which is accidentally run down and killed by a car. Next to the panther's cage, Oliver and Alice find a dead panther lying on the ground. Oliver says, ""She never lied to us."""
1942,The Ghost of Frankenstein,Science fiction,Erie C. Kenton,124,"The residents of the village of Frankenstein feel they are under a curse and blame all their troubles on Frankenstein's monster. The Mayor allows them to destroy Frankenstein's castle. Ygor finds the monster released from his sulfuric tomb by the explosions. The exposure to the sulfur weakened yet preserved the monster. Ygor and the monster flee the castle, and the monster is struck by a bolt of lightning. Ygor decides to find Ludwig, the second son of Henry Frankenstein, to help the monster regain his strength. Ludwig Frankenstein is a doctor who, along with his assistants Dr. Kettering and Dr. Theodore Bohmer, has a successful practice in Visaria. Bohmer was formerly Ludwig's teacher but is now his envious assistant. Ygor and the monster arrive in Vasaria, where the monster befriends a young girl, Cloestine Hussman. The monster carries her onto a roof to retrieve her ball, killing two villagers who attempt to intervene. After Cloestine asks the monster to bring her back down, the monster returns the girl to her father Herr Hussman and is immediately captured by police. The town prosecutor, Erik Ernst, comes to Ludwig and asks him to examine the giant they have captured. Ygor then visits Ludwig and informs him that the giant is the monster. Ygor implores Ludwig to heal the monster's body and brain. Ludwig refuses, but Ygor threatens to reveal Ludwig's ancestry to the villagers.

At the police station, the monster is restrained with chains as a hearing is conducted to investigate the murder of the villagers. When Ludwig denies recognizing the monster, it breaks free in a fit of rage, and is led away by Ygor. Elsa, Ludwig's daughter, finds the Frankenstein journals and learns the story of the monster. She sees Ygor and the monster in the window, and after breaking into Ludwig's laboratory, the monster kills Dr. Kettering. The monster grabs Elsa, but Ludwig is able to subdue him with knockout gas. Ludwig is examining the monster when it awakens and tries to kill him. Ludwig tranquilizes the monster and then tries to enlist Bohmer's aid in dissecting him. Bohmer refuses, claiming it would be murder. While studying his family's journals, Ludwig is visited by the ghost of his father Henry Frankenstein. The spirit implores him to supply the monster with a good brain. Ludwig calls in Bohmer and Ygor and tells them that he plans to put Dr. Kettering's brain into the monster's skull. Ygor protests and asks Ludwig to use his brain, but Ludwig refuses because of Ygor's sinister nature. Elsa begs Ludwig to stop his experiments, but he chooses to operate on the monster as soon as possible. Ygor tells Bohmer that he should not be subordinate to Ludwig. Ygor promises to help the disgraced doctor if he agrees to put Ygor's brain into the monster.

The police soon arrive at Ludwig's house, searching for the monster. They find the secret room, but Ygor and the monster have fled. The monster abducts Cloestine from her home and returns with her in his arms to Ludwig's chateau. The monster conveys his desire for her brain to be placed in his head. Cloestine does not want to lose her brain, and the monster reluctantly gives her to Elsa. Ludwig then performs the surgery, not knowing that Bohmer has replaced Kettering's brain with Ygor's. In the village, Herr Hussman rouses his neighbors by telling them his daughter has been captured by the monster and that Ludwig is harboring it. Ludwig shows the monster to Erik, but when the monster rises, Ludwig is shocked to hear that it has Ygor's voice. The villagers storm the chateau and the Ygor-Monster decides to have Bohmer fill the house with gas to kill them. Ludwig tries to stop him, but the Ygor-Monster repels the attack and mortally wounds Ludwig. The Ygor-Monster suddenly goes blind. The wounded Ludwig explains that the blindness is a result of the incompatibility between the blood types of Ygor and the monster. Feeling betrayed, the Ygor-Monster then throws Bohmer onto the apparatus, electrocuting him, and inadvertently sets fire to the chateau. The Ygor-Monster becomes trapped in the burning chateau while Erik and Elsa escape, walking out into the sunrise."
1942,The Boogie Man Will Get You,Horror comedy,Lew Landers,173,"Faced with mortgage debts, Professor Nathaniel Billings (Boris Karloff) sells his 18th-century tavern to Winnie Layden (Jeff Donnell), who plans to turn it into a hotel. Billings stipulates as a condition of sale that he is able to continue working in a laboratory in the basement. His housekeeper Amelia Jones (Maude Eburne) and hired hand Ebenezer (George McKay) also continue to work in the inn. Layden is initially unaware of the nature of Billings's experiments in the basement laboratory: he is attempting to use electricity to create a race of superhumans to help the war effort. Layden's ex-husband Bill (Larry Parks) is against the sale, but is too late to stop it, and decides to stay on at the inn for a few days.

One night at dinner, the residents hear the sounds of a ghost. Bill suspects that this is part of a plan to scare the new owner away. While investigating, Bill discovers in the basement the dead body of travelling salesman Johnson (Eddie Laughton), an experiment subject who died shortly after the sale. He reports this discovery to the local sheriff Dr. Arthur Lorentz (Peter Lorre). After making inquiries, Lorentz realises the potential for profit and decides to work with Billings on a subsequent experiment. Their initial plan is to use Bill as a test subject, but this proves unsuccessful, so they turn their attention to Maxie, a visiting powder puff salesman (Maxie Rosenbloom).

Before the experiments can begin, one of the inn's guests is murdered. Billings and Lorentz see the primary suspect as another guest, J. Gilbert Brampton (Don Beddoe), but the police officers who set out to investigate are intercepted on the way. Maxie scares away an intruder known as ""Jo-Jo"" (Frank Puglia), who is intending to steal Billings's equipment. Billings and Lorentz decide to begin their experiment on Maxie so that they can use him to stop ""Jo-Jo"" from blowing up a nearby munitions plant. Meanwhile, Brampton informs Winnie and Bill that he is visiting as a representative of the Historical Society of America, who are interested in buying the inn.

When the police officers eventually arrive, they arrest the housekeeper and Ebenezer for the murders. The dead bodies come back to life, having apparently been in a state of suspended animation. The police officers decide to send the rest of the house's inhabitants to the Idlewild Sanatorium, a local psychiatric institution."
1942,Night Monster,Killer,Ford Beebe,182,"In a small town bordering a swampy region, unexplained murders and rumors of mysterious happenings surround the swamp-based home of the reclusive but respected Curt Ingston (Morgan). Ingston uses a wheelchair and has invited to his home the three doctors who were trying to cure him when his paralysis set in. Already in the household are his grim-humored butler Rolf; a lecherous chauffeur, Lawrie; a mannish housekeeper, Miss Judd; an Eastern mystic, Agar Singh; and Ingston's allegedly mentally ill sister, Margaret. Outside, the gate is watched by a shrivelled old hunchback called Torque.

Coincident with the arrival of the three male physicians is the appearance of a lady psychiatrist, Dr. Lynn Harper, summoned secretly by Margaret to prove she is not insane and help her secure freedom from the control of Ingston and Miss Judd. She arrives accompanied by a neighbor: mystery-writer Dick Baldwin, who rescued her after her car broke down in the swamp. Neither Ingston nor Miss Judd welcome her presence, but must contend with keeping her overnight until her car can be repaired.

Following dinner, at which Ingston's conviction that the three doctors are directly responsible for his current condition becomes evident, the party witnesses an exhibition of materialization of an Egyptian skeleton by Agar Singh. Dr. Harper is forbidden to meet with Margaret. Then, one by one, the doctors are frightfully killed as they prepare for bed. Suspecting Ingston, Dick and Police Captain Beggs confront him in his room, but discover he is not paralyzed but a quadruple amputee. Suspicion then falls on Lawrie, who was last seen driving a murdered ex-employee of the household back to town, but he, too, winds up dead.

Ultimately, Dick confronts the killer outside the estate as he menaces Lynn, and discovers it is Ingston after all: by studying under Agar Singh, he has learned how to materialize arms and legs, hands and feet for himself, long enough to accomplish his evil deeds. As Dick struggles with him to the death, Margaret sets fire to the unholy house, committing suicide while taking the malevolent Miss Judd with her. As the house burns to the ground, Dick and Lynn are saved by Agar Singh, when Singh shoots Ingston."
1943,Frankenstein Meets the Wolf Man,Monster,Roy William Neill,118,"Four years after the events of The Wolf Man and The Ghost of Frankenstein, two men break into the Talbot family crypt on the night of a full moon to open the grave of Larry Talbot (Lon Chaney Jr.), seeking jewelry that was buried with him. During the robbery, the thieves remove the wolfsbane buried with Talbot, awakening him from death by the full moon shining on his uncovered body. Talbot reflexively grasps the arm of the grave robber with a fur-covered hand, as the other thief flees. Talbot is found by the police in Cardiff later that night, with a vicious head wound (administered by his father at the end of The Wolf Man), and taken to a hospital where he is treated by Dr. Mannering. Talbot slowly comes to understand his situation, but during the full moon, he transforms into the Wolf Man and kills a police constable. The next morning, Mannering realizes his patient had been roaming about, and tries to reason with him, though unable to accept Talbot's explanation of his curse. Dr. Mannering allows Inspector Owen to question Talbot, who becomes violently irate, then is overcome by orderlies and bound to his bed with leather straps. Not believing his story of being a werewolf, the doctor and detective travel to the village of Llanwelly to investigate Talbot and his story. While they are away, Talbot escapes from the hospital by biting through the restraints with his teeth. Seeking a cure for the curse that causes him to transform into a werewolf with every full moon, Talbot leaves Britain and seeks the gypsy woman Maleva, who has hearsay knowledge of Dr. Frankenstein and opines he may able to help Talbot. Together they travel to the village of Vasaria, where Talbot hopes to find the notes of Dr. Frankenstein in the remains of his estate, and permanently end his own life through scientific means. The townsfolk want no part of them or their desire to meet with the deceased Frankenstein, rudely ordering them to leave.

An upset Talbot transforms into the Wolf Man and kills a young woman, causing the villagers of Vasaria to raise a mob to chase him down. Fleeing toward the ruins of the Frankenstein castle, Talbot falls through the burned-out flooring and into the frozen cellars below. Talbot recovers from his animal state, and wanders around, discovering Frankenstein's Monster (portrayed by Lon Chaney Jr. in the preceding film, but now played by Bela Lugosi) trapped within an icy chamber; using a stone, Talbot breaks the ice and helps pull the now-revived creature free. Finding that the Monster is unable to locate the notes of the long-dead doctor, Talbot poses as a potential buyer of the Frankenstein estate in order to seek out Baroness Elsa Frankenstein (Ilona Massey) the daughter of Ludwig, hoping she knows their hiding place. She declines to assist Talbot, but the pair are invited to the ""Festival of the New Wine"" by the Burgomeister. During the festival, a performance of the life-affirming folk song Faro-la Faro-Li enrages Talbot as Dr. Mannering arrives. The doctor, having followed him across Europe, attempts to persuade Talbot to return to Wales before he has another spell. Talbot refuses to go with Mannering, and the Monster crashes the festival. With the Monster revealed, Elsa and Mannering agree to help the villagers rid themselves of Frankenstein's curse forever. The following morning, the couple, with Maleva in tow, meet with Talbot and the Monster at the ruins. Mannering is instantly fascinated by the Monster from a scientific perspective. The Baroness gives the notes to Talbot and the doctor. Mannering studies the notes and learns how to drain all life from both Talbot and the Monster, believing the laboratory can be repaired for the task.

In the meantime, the villagers are dismayed to see crates of scientific instruments arriving for Dr. Mannering. Ignorant of Mannering's plan to cure Talbot, the villagers fear another return of the Frankenstein Monster, and they grow suspicious. Vazec, the innkeeper, details a plan to destroy the dam overlooking the Frankenstein estate with dynamite and drown all within, in the hopes that this will put a final end to the attacks from both the Frankenstein Monster and the Wolf Man. The Burgomeister dismisses the idea as nothing but a drunken notion, but Vazec is determined and puts his plan into action.

Meanwhile, Dr. Mannering begins his experimental procedure of using electricity to drain the life force from both Talbot and the Monster, but Mannering's scientific curiosity to see the monster at full strength overwhelms his logic, and to Elsa's horror, he decides to alter the machines to fully revive the monster. The experiment coincides on the night of a full moon, and Talbot transforms yet again as the Monster regains his strength (and eyesight); both escape their restraints. The Monster begins to carry Elsa away, but the Wolf Man attacks him, and she escapes from the castle with Mannering. The Wolf Man and the Monster then engage in a fight until they are both swept away in the flood that results when Vazec dynamites the dam."
1943,Return of the Vampire,Monster,Lew Landers,150,"During World War I, the vampire Armand Tesla stalks London. His latest victim is admitted to the clinic of Lady Jane Ainsley and her colleague, Professor Walter Saunders. They are baffled by what they regard as a severe case of anemia. The vampire infiltrates the clinic; unable to finish his previous victim, he preys on Prof. Saunders' granddaughter instead. Saunders comes to believe that both patients are victims of a vampire. He shows Lady Jane puncture marks on their necks. He and Lady Jane search a nearby cemetery for the vampire's crypt. A werewolf assisting the vampire tries to prevent their intervention. Once the vampire is staked, the werewolf, Andréas, is cured of his curse. He later becomes Lady Jane's assistant.

Twenty-four years later, Scotland Yard detective Sir Fredrick Fleet reads the deceased Saunders' account of these events. He informs Lady Jane that if the body they staked was alive at the time, she will be charged with murder. Lady Jane explains that the man they staked was a seventeenth century vampire expert named Armand Tesla. Lady Jane tells her son, John, about the investigation. She is certain that Sir Frederick will find that Tesla's body has not decomposed, proving he was a vampire. She and John agree to keep this information from John's fiancée, Saunders' granddaughter Nikki, to avoid reawakening the trauma of her previous attack.

After a bombing raid, cemetery workers find Tesla's corpse exposed, with the metal stake still in his chest. Believing the stake to be bomb shrapnel, they remove it and reinter the body. Thus freed from death, the vampire regains power over Andréas and prepares to avenge himself on Lady Jane. Helpless to resist, Andréas murders Hugo Bruckner, a scientist recently escaped from a concentration camp who had arrived in England to work with Lady Jane. Tesla intends to impersonate Bruckner. With Tesla's body missing, Sir Frederick closes his investigation for lack of evidence.

Lady Jane throws a party to celebrate John and Nikki's engagement. She discourages Sir Frederick from giving Saunders' manuscript to Nikki and locks it in a drawer. Tesla arrives as Bruckner and charms everyone except Sir Frederick. The manuscript is stolen and left in Nikki's room. She begins reading it and falls under Tesla's power. She is found the next morning unconscious with puncture marks on her neck.

Lady Jane questions the gravediggers, who tell her about the staked body. She relates the story to Sir Frederick, who dismisses vampire stories as fantasy. He assigns two plainclothes men to shadow Andréas. They report seeing him transform into a werewolf, and recover a bundle containing the effects of the real Bruckner. Sir Frederick's suspicions grow when a laboratory analysis of the rifled drawer finds a quantity of wolf hair.

Tesla preys on John and convinces Nikki that she did it. John is found the next morning unconscious with puncture wounds. Nikki believes she has become a vampire. Sir Frederick corners Andréas for questioning, but as he begins to transform, Andréas escapes. Sir Frederick assigns plainclothes men to follow Tesla, but the vampire eludes them. Tesla threatens to turn Nikki and John into vampires. Warning Tesla that the ""power of goodness"" can still destroy him, Lady Jane brandishes a cross. Tesla vanishes.

When Tesla commands Nikki to leave the house, Lady Jane convinces Sir Frederick that they must follow her. Nikki meets Tesla and Andréas at the cemetery during an air raid and faints. Andréas attempts to carry her to safety, but Sir Frederick shoots him. He and Lady Jane take shelter from the bombing. Tesla abandons Andréas and tells him to die; Andréas crawls into a corner and grasps a crucifix and is freed of the vampire's power. He attempts to destroy Tesla. A bomb strikes the cemetery and the rays of the rising sun reduce the vampire to bones. Andréas dies of his bullet wound. Nikki tells Sir Frederick and Lady Jane that Andréas saved her life. Lady Jane tries again to convince Sir Frederick that Tesla was a vampire, but without physical evidence he refuses to accept her version of events."
